,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
0,s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,9/25/2021,2020,PG-13,90 min,Documentaries
1,s3,TV Show,Ganglands,Julien Leclercq,France,9/24/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
2,s6,TV Show,Midnight Mass,Mike Flanagan,United States,9/24/2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
3,s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,9/22/2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies"
5,s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,9/24/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV"
6,s10,Movie,The Starling,Theodore Melfi,United States,9/24/2021,2021,PG-13,104 min,"Comedies, Dramas"
7,s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,05-01-2021,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals"
8,s13,Movie,Je Suis Karl,Christian Schwochow,Germany,9/23/2021,2021,TV-MA,127 min,"Dramas, International Movies"
9,s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,05-01-2021,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals"
10,s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,05-01-2021,2014,TV-Y7,76 min,"Children & Family Movies, Comedies"
11,s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,05-01-2021,2013,TV-Y7,71 min,"Children & Family Movies, Comedies"
12,s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,7/13/2021,2021,TV-14,39 min,Movies
13,s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,06-12-2021,2021,TV-MA,36 min,Movies
14,s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,06-12-2021,2021,TV-MA,34 min,Movies
15,s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,05-07-2021,2021,TV-14,35 min,Comedies
16,s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,11/26/2019,2019,TV-Y,46 min,Children & Family Movies
17,s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,6/15/2018,2018,TV-Y,1 Season,Kids' TV
18,s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,6/15/2018,2018,TV-Y,1 Season,Kids' TV
19,s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,5/18/2018,2018,TV-Y,1 Season,Kids' TV
20,s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,9/22/2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
21,s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,9/21/2021,2021,TV-Y,61 min,Children & Family Movies
23,s28,Movie,Grown Ups,Dennis Dugan,United States,9/20/2021,2010,PG-13,103 min,Comedies
24,s29,Movie,Dark Skies,Scott Stewart,United States,9/19/2021,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy"
25,s30,Movie,Paranoia,Robert Luketic,United States,9/19/2021,2013,PG-13,106 min,Thrillers
27,s39,Movie,Birth of the Dragon,George Nolfi,China,9/16/2021,2017,PG-13,96 min,"Action & Adventure, Dramas"
28,s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,9/16/2021,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
29,s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,9/14/2021,2021,TV-G,106 min,Children & Family Movies
34,s47,Movie,Safe House,Daniel Espinosa,South Africa,9/16/2021,2012,R,115 min,Action & Adventure
40,s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,9/15/2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies"
44,s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,9/15/2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies"
48,s74,Movie,King of Boys,Kemi Adetiba,Nigeria,9/14/2021,2018,TV-MA,182 min,"Dramas, International Movies"
49,s82,Movie,Kate,Cedric Nicolas-Troyan,United States,09-10-2021,2021,R,106 min,Action & Adventure
50,s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,09-10-2021,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas"
51,s87,Movie,Prey,Thomas Sieben,Germany,09-10-2021,2021,TV-MA,87 min,"International Movies, Thrillers"
52,s91,Movie,Paradise Hills,Alice Waddington,Spain,09-09-2021,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers"
53,s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,09-09-2021,2021,TV-14,92 min,"Documentaries, International Movies"
54,s95,Movie,Show Dogs,Raja Gosnell,United Kingdom,09-08-2021,2018,PG,90 min,"Children & Family Movies, Comedies"
55,s1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States,4/14/2021,2021,TV-MA,84 min,Documentaries
56,s113,Movie,Worth,Sara Colangelo,United States,09-03-2021,2021,PG-13,119 min,Dramas
57,s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,09-07-2021,2018,TV-MA,97 min,"Documentaries, Music & Musicals"
58,s114,Movie,Afterlife of the Party,Stephen Herek,United States,09-02-2021,2021,TV-PG,110 min,"Comedies, Romantic Movies"
59,s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,09-07-2021,2021,TV-MA,80 min,"Documentaries, Sports Movies"
60,s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,09-05-2021,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas"
61,s108,Movie,A Champion Heart,David de Vos,United States,09-04-2021,2018,G,90 min,"Children & Family Movies, Dramas"
64,s117,Movie,Dhanak,Nagesh Kukunoor,India,09-02-2021,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies"
65,s118,Movie,Final Account,Luke Holland,United Kingdom,09-02-2021,2021,PG-13,94 min,Documentaries
66,s119,Movie,Gurgaon,Shanker Raman,India,09-02-2021,2017,TV-14,106 min,"Dramas, International Movies, Thrillers"
67,s120,Movie,Here and There,JP Habac,Philippines,09-02-2021,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies"
68,s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,France,09-01-2021,2017,PG-13,115 min,"Dramas, International Movies, Thrillers"
70,s127,Movie,Shikara,Vidhu Vinod Chopra,India,09-02-2021,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies"
74,s134,Movie,Chappie,Neill Blomkamp,South Africa,09-01-2021,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy"
75,s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,09-01-2021,2016,TV-MA,88 min,Comedies
80,s139,Movie,Dear John,Lasse Hallström,United States,09-01-2021,2010,PG-13,108 min,"Dramas, Romantic Movies"
82,s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,09-01-2021,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers"
83,s142,Movie,Extraction,Steven C. Miller,United States,09-01-2021,2015,R,82 min,Action & Adventure
85,s144,Movie,Green Lantern,Martin Campbell,United States,09-01-2021,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy"
93,s157,Movie,Letters to Juliet,Gary Winick,United States,09-01-2021,2010,PG,105 min,"Comedies, Dramas, Romantic Movies"
94,s158,Movie,Level 16,Danishka Esterhazy,Canada,09-01-2021,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers"
96,s160,Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,09-01-2021,2010,TV-MA,103 min,"Comedies, Dramas, International Movies"
98,s163,Movie,Marshall,Reginald Hudlin,United States,09-01-2021,2017,PG-13,118 min,Dramas
106,s172,Movie,Same Kind of Different as Me,Michael Carney,United States,09-01-2021,2017,PG-13,120 min,"Dramas, Faith & Spirituality"
108,s174,Movie,Snervous Tyler Oakley,Amy Rice,United States,09-01-2021,2015,PG-13,83 min,"Documentaries, LGBTQ Movies"
